"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Kamphaeng Phet",2011,0,2,2,3,5,13,8,19,10,8,3,3,76
"Kamphaeng Phet",2012,0,1,2,3,3,4,7,2,2,3,1,0,28
"Kamphaeng Phet",2013,0,0,2,3,1,1,4,2,0,0,1,0,14
"Kamphaeng Phet",2014,0,0,0,0,0,2,3,0,1,0,0,0,6
"Kamphaeng Phet",2015,0,0,0,1,1,3,1,1,4,5,0,2,18
"Kamphaeng Phet",2016,0,2,0,2,0,0,0,0,0,0,0,0,4
"Kamphaeng Phet",2017,0,1,0,0,0,0,1,2,3,0,0,0,7
"Kamphaeng Phet",2018,0,1,1,0,1,1,1,1,1,0,0,0,7
"Kamphaeng Phet",2019,0,0,1,1,1,0,2,1,0,0,1,1,8
"Kamphaeng Phet",2020,0,0,0,1,0,0,0,0,0,1,0,0,2
"Kanchanaburi",2011,1,4,3,2,3,5,3,2,2,22,4,0,51
"Kanchanaburi",2012,0,1,1,2,2,2,2,6,6,2,0,2,26
"Kanchanaburi",2013,1,3,1,3,1,3,3,3,0,0,0,0,18
"Kanchanaburi",2014,1,1,1,2,0,1,0,4,1,2,0,0,13
"Kanchanaburi",2015,1,2,1,1,0,1,4,3,1,2,7,1,24
"Kanchanaburi",2016,2,0,0,0,0,0,0,1,0,0,0,0,3
"Kanchanaburi",2017,0,0,0,0,0,1,0,0,0,0,1,0,2
"Kanchanaburi",2018,0,2,1,4,1,1,0,0,0,1,2,0,12
"Kanchanaburi",2019,0,1,0,1,1,3,5,5,5,0,0,0,21
"Kanchanaburi",2020,0,0,0,0,0,1,2,0,0,2,2,1,8
"Khon Kaen",2011,0,2,1,2,3,3,12,6,5,4,0,3,41
"Khon Kaen",2012,1,1,3,4,8,7,5,2,5,2,3,0,41
"Khon Kaen",2013,3,2,0,1,4,6,9,7,5,1,0,0,38
"Khon Kaen",2014,0,3,0,1,2,1,2,1,4,2,1,1,18
"Khon Kaen",2015,0,0,0,1,4,3,11,6,7,14,6,5,57
"Khon Kaen",2016,5,0,1,0,0,1,1,5,0,2,0,0,15
"Khon Kaen",2017,0,1,1,1,0,1,3,2,1,1,2,0,13
"Khon Kaen",2018,0,0,0,2,2,8,5,6,0,3,6,5,37
"Khon Kaen",2019,1,2,0,0,1,2,1,4,4,3,0,0,18
"Khon Kaen",2020,1,0,2,3,2,3,2,3,0,0,0,0,16
"Krabi",2011,2,0,0,1,4,2,3,0,4,0,0,0,16
"Krabi",2012,3,0,1,2,7,8,1,2,3,4,10,5,46
"Krabi",2013,8,9,3,11,14,15,15,6,0,0,0,0,81
"Krabi",2014,0,0,0,2,1,3,3,5,4,0,1,0,19
"Krabi",2015,5,2,2,1,1,5,3,5,9,3,5,1,42
"Krabi",2016,4,1,0,0,0,2,2,0,0,3,0,0,12
"Krabi",2017,1,0,0,2,1,3,0,1,2,2,2,1,15
"Krabi",2018,0,1,1,4,4,8,9,5,2,2,5,4,45
"Krabi",2019,1,3,4,3,2,2,8,1,1,0,0,0,25
"Krabi",2020,0,0,0,0,1,1,0,2,0,0,0,0,4
"Lampang",2011,0,0,0,0,0,1,0,0,0,0,0,0,1
"Lampang",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampang",2013,0,0,0,0,3,5,3,3,2,0,0,0,16
"Lampang",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampang",2015,0,0,0,0,1,1,0,3,0,0,1,0,6
"Lampang",2016,0,0,0,0,0,0,0,3,0,0,1,0,4
"Lampang",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampang",2018,1,0,0,0,0,1,0,1,0,0,0,0,3
"Lampang",2019,0,0,0,0,0,0,1,2,0,0,0,0,3
"Lampang",2020,0,0,0,0,0,1,0,2,0,1,0,0,4
"Lamphun",2011,0,0,0,0,0,0,1,0,0,0,0,0,1
"Lamphun",2012,0,0,0,0,0,0,0,0,0,1,0,1,2
"Lamphun",2013,0,0,0,1,1,0,2,0,0,0,0,0,4
"Lamphun",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamphun",2015,0,0,0,0,0,0,1,0,0,1,0,0,2
"Lamphun",2016,0,0,0,0,0,0,0,1,2,1,0,1,5
"Lamphun",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamphun",2018,0,0,0,0,0,0,0,0,0,1,0,0,1
"Lamphun",2019,0,0,0,0,0,0,0,1,0,0,0,0,1
"Lamphun",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loei",2011,1,0,1,0,1,1,1,0,1,2,0,1,9
"Loei",2012,0,0,1,0,3,2,1,3,1,0,0,1,12
"Loei",2013,1,1,2,3,5,7,10,3,2,1,1,0,36
"Loei",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loei",2015,0,0,0,1,2,3,1,2,2,1,0,2,14
"Loei",2016,1,1,2,3,0,0,0,0,0,0,1,0,8
"Loei",2017,0,0,0,0,1,2,1,0,2,0,1,0,7
"Loei",2018,0,0,0,0,0,0,0,0,0,1,0,0,1
"Loei",2019,0,0,1,0,1,4,3,1,2,3,3,2,20
"Loei",2020,1,0,0,0,0,1,1,0,0,0,0,0,3
"Lop Buri",2011,2,1,0,3,3,7,6,4,4,7,0,0,37
"Lop Buri",2012,0,0,1,0,0,1,1,3,2,0,0,0,8
"Lop Buri",2013,0,0,1,0,0,0,0,0,1,0,1,0,3
"Lop Buri",2014,0,0,0,0,1,0,0,3,0,0,0,0,4
"Lop Buri",2015,0,1,0,1,1,1,1,2,1,0,5,2,15
"Lop Buri",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lop Buri",2017,0,1,0,0,0,1,0,0,0,0,0,0,2
"Lop Buri",2018,0,0,0,0,2,0,1,1,2,0,0,4,10
"Lop Buri",2019,0,1,1,0,0,2,0,0,0,0,0,0,4
"Lop Buri",2020,1,0,0,0,0,0,1,0,1,0,0,0,3
"Mae Hong Son",2011,0,0,0,0,0,2,0,0,0,0,0,0,2
"Mae Hong Son",2012,0,0,0,0,0,0,1,0,0,1,0,0,2
"Mae Hong Son",2013,0,1,0,1,0,3,6,2,1,3,0,1,18
"Mae Hong Son",2014,0,0,0,0,3,2,4,2,0,0,0,0,11
"Mae Hong Son",2015,0,0,0,0,0,0,3,5,2,0,1,0,11
"Mae Hong Son",2016,0,0,0,0,2,0,1,0,1,1,0,0,5
"Mae Hong Son",2017,0,0,0,0,0,0,2,0,0,1,0,1,4
"Mae Hong Son",2018,0,0,0,1,0,0,1,1,0,0,0,0,3
"Mae Hong Son",2019,0,0,0,0,0,1,1,2,1,2,0,0,7
"Mae Hong Son",2020,0,0,0,0,0,0,1,2,1,2,0,0,6
"Maha Sarakham",2011,0,0,0,0,3,2,0,3,1,0,1,0,10
"Maha Sarakham",2012,0,0,0,0,0,1,1,1,2,0,2,2,9
"Maha Sarakham",2013,1,1,1,0,2,4,3,3,2,4,0,0,21
"Maha Sarakham",2014,0,0,0,1,0,1,1,0,2,0,0,0,5
"Maha Sarakham",2015,0,0,0,2,6,1,3,7,4,3,2,2,30
"Maha Sarakham",2016,3,0,0,0,0,2,0,2,1,1,1,0,10
"Maha Sarakham",2017,0,0,0,1,3,2,1,2,2,0,1,0,12
"Maha Sarakham",2018,0,0,1,0,0,3,1,2,0,0,0,1,8
"Maha Sarakham",2019,0,1,0,2,0,1,2,4,2,1,0,0,13
"Maha Sarakham",2020,0,0,0,1,3,0,1,3,1,0,0,0,9
"Mukdahan",2011,0,0,1,0,0,1,0,0,1,0,0,0,3
"Mukdahan",2012,0,1,0,0,1,3,0,1,2,0,1,0,9
"Mukdahan",2013,1,0,0,1,4,11,3,8,0,0,0,0,28
"Mukdahan",2014,0,0,0,0,0,0,1,0,0,1,0,0,2
"Mukdahan",2015,0,0,0,0,2,3,1,1,1,0,0,1,9
"Mukdahan",2016,0,0,0,0,2,1,0,0,1,0,0,0,4
"Mukdahan",2017,1,0,0,1,1,0,0,0,0,0,0,0,3
"Mukdahan",2018,0,0,0,0,0,0,2,0,0,0,0,0,2
"Mukdahan",2019,0,0,1,0,1,3,1,0,0,0,0,0,6
"Mukdahan",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Nayok",2011,0,0,0,0,1,1,1,0,0,0,0,0,3
"Nakhon Nayok",2012,0,0,0,0,0,0,0,0,0,1,0,0,1
"Nakhon Nayok",2013,0,1,2,0,5,0,1,0,1,0,0,0,10
"Nakhon Nayok",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Nayok",2015,0,0,0,0,0,0,1,0,0,1,0,0,2
"Nakhon Nayok",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Nayok",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Nayok",2018,0,0,0,0,0,1,4,0,0,1,0,0,6
"Nakhon Nayok",2019,0,0,0,0,0,0,0,0,1,0,0,0,1
"Nakhon Nayok",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Pathom",2011,2,0,0,0,1,1,0,3,4,0,3,0,14
"Nakhon Pathom",2012,0,0,1,0,1,1,0,2,1,0,3,0,9
"Nakhon Pathom",2013,0,0,1,2,0,1,0,0,1,1,0,2,8
"Nakhon Pathom",2014,1,2,0,1,0,1,1,3,3,2,2,2,18
"Nakhon Pathom",2015,0,0,1,0,1,3,1,10,13,5,3,1,38
"Nakhon Pathom",2016,3,0,1,0,0,0,1,2,4,0,1,0,12
"Nakhon Pathom",2017,0,0,0,1,1,0,1,1,4,2,0,1,11
"Nakhon Pathom",2018,2,0,0,0,2,4,4,2,4,2,3,1,24
"Nakhon Pathom",2019,2,2,0,0,0,2,1,0,3,6,2,2,20
"Nakhon Pathom",2020,0,0,0,0,0,0,1,1,0,0,1,0,3
"Nakhon Phanom",2011,0,0,0,0,4,6,0,1,8,2,0,0,21
"Nakhon Phanom",2012,0,0,0,1,2,7,3,6,7,9,10,4,49
"Nakhon Phanom",2013,0,1,2,5,16,21,18,4,1,2,0,0,70
"Nakhon Phanom",2014,0,0,1,0,1,0,0,1,0,0,0,0,3
"Nakhon Phanom",2015,0,0,0,1,1,3,3,6,3,3,0,0,20
"Nakhon Phanom",2016,0,0,0,0,1,2,0,0,1,1,0,0,5
"Nakhon Phanom",2017,0,0,1,0,2,0,0,0,1,0,0,0,4
"Nakhon Phanom",2018,0,0,1,0,0,0,1,0,0,0,0,0,2
"Nakhon Phanom",2019,0,0,0,0,1,1,0,0,0,0,0,0,2
"Nakhon Phanom",2020,0,0,0,0,0,1,2,0,0,0,0,0,3
"Nakhon Ratchasima",2011,0,1,3,5,13,10,23,14,8,5,3,3,88
"Nakhon Ratchasima",2012,1,4,1,3,8,12,12,15,8,9,15,8,96
"Nakhon Ratchasima",2013,5,4,7,5,14,23,23,17,13,6,0,1,118
