"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Suphan Buri",2016,18,10,20,8,5,3,17,25,31,9,12,8,166
"Suphan Buri",2017,11,12,11,7,25,31,61,42,33,29,27,26,315
"Suphan Buri",2018,27,9,16,22,35,71,76,67,83,100,74,53,633
"Suphan Buri",2019,39,22,13,3,5,24,26,35,20,46,48,27,308
"Suphan Buri",2020,22,17,19,21,11,12,19,51,82,59,50,25,388
"Surat Thani",2011,41,27,24,14,30,23,14,28,17,23,23,15,279
"Surat Thani",2012,23,29,36,37,56,107,134,145,97,111,153,107,1035
"Surat Thani",2013,183,118,131,134,146,196,133,123,90,50,27,35,1366
"Surat Thani",2014,26,13,22,15,25,73,115,86,71,81,41,40,608
"Surat Thani",2015,29,19,22,14,16,42,51,67,60,41,71,39,471
"Surat Thani",2016,39,27,24,12,7,14,30,54,88,58,53,50,456
"Surat Thani",2017,71,72,76,79,74,117,63,81,75,64,70,70,912
"Surat Thani",2018,57,66,55,66,160,212,119,89,58,56,53,74,1065
"Surat Thani",2019,41,36,37,19,16,41,57,62,65,39,28,45,486
"Surat Thani",2020,45,20,8,19,26,59,78,42,24,16,12,0,349
"Surin",2011,21,11,39,30,141,290,338,262,128,47,23,9,1339
"Surin",2012,5,18,22,40,85,192,297,242,285,255,86,21,1548
"Surin",2013,127,138,175,178,241,479,591,480,263,89,26,0,2787
"Surin",2014,4,10,21,13,54,31,65,99,57,45,27,8,434
"Surin",2015,5,2,11,21,88,142,223,512,430,240,229,107,2010
"Surin",2016,163,109,99,73,38,133,248,356,212,152,67,14,1664
"Surin",2017,22,11,30,39,101,241,216,139,64,30,10,5,908
"Surin",2018,10,5,19,23,145,277,380,273,257,117,49,49,1604
"Surin",2019,63,74,67,69,141,495,533,430,394,232,107,51,2656
"Surin",2020,54,31,24,46,74,176,397,468,355,122,46,14,1807
