"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Sakon Nakhon",0,0,0,0,2,0,1,0,4,7,9,3,2,1,0,0,0,2011
"Samut Prakan",0,5,3,4,14,16,14,19,75,218,350,209,113,54,33,10,0,2011
"Samut Sakhon",0,8,5,13,10,5,12,17,57,150,220,137,67,35,9,3,0,2011
"Samut Songkhram",0,0,0,0,3,2,0,2,3,26,38,22,14,5,4,1,0,2011
"Saraburi",0,5,1,3,4,12,6,7,48,113,124,66,32,13,4,3,0,2011
"Satun",0,4,2,2,2,5,6,10,14,41,42,26,8,6,2,2,0,2011
"Si Sa Ket",0,5,2,8,10,19,19,19,68,193,214,53,35,17,7,7,0,2011
"Sing Buri",0,0,0,0,0,1,1,2,4,7,15,6,5,1,2,1,0,2011
"Songkhla",0,9,8,10,7,16,13,20,74,117,138,80,39,25,4,10,0,2011
"Sukhothai",0,6,2,4,6,7,9,17,57,201,154,40,24,17,3,2,0,2011
"Suphan Buri",0,6,1,5,7,14,14,17,60,122,185,92,71,37,15,9,0,2011
"Surat Thani",0,4,0,0,1,1,2,0,9,16,12,7,2,2,0,0,0,2011
"Surin",0,0,1,7,6,18,15,27,79,189,148,43,24,16,3,9,1,2011
"Tak",0,0,1,4,1,1,4,9,36,75,107,37,12,9,6,1,0,2011
"Trang",0,7,1,1,5,2,4,7,19,49,58,27,19,6,4,2,0,2011
"Trat",0,0,2,0,1,2,1,3,10,32,36,33,13,9,4,4,0,2011
"Ubon Ratchathani",0,5,8,7,9,18,10,14,63,148,116,39,26,18,8,3,0,2011
"Udon Thani",0,0,1,0,1,4,3,4,14,37,26,9,2,3,2,1,0,2011
"Uthai Thani",0,0,0,1,1,0,3,0,5,15,32,13,12,6,1,1,0,2011
"Uttaradit",0,0,0,0,2,3,1,2,9,41,52,22,9,6,2,0,0,2011
"Yala",0,0,0,0,2,0,0,0,2,10,1,6,1,3,1,0,0,2011
"Yasothon",0,0,0,0,0,2,1,4,7,29,17,2,1,3,0,0,0,2011
